"Category","Annual Mean","5-yr smooth"
1901,1201.28,1274.11
1902,1382.97,1285.08
1903,1089.44,1296.72
1904,1477.33,1309.73
1905,1530.35,1324.72
1906,1371.41,1342.38
1907,1262.79,1363.25
1908,1068.02,1386.85
1909,1578.85,1411.87
1910,1493.62,1437.2
1911,1460.93,1461.7
1912,1217.41,1484.21
1913,1628.38,1502.95
1914,1606.71,1515.78
1915,1657.48,1520.48
1916,1532.81,1514.79
1917,1590.52,1496.54
1918,1449.19,1465.92
1919,1239.24,1428.26
1920,1148.56,1389.44
1921,1292.29,1355.66
1922,1587.72,1332.79
1923,1215.91,1325.06
1924,1457.47,1328.8
1925,1545.83,1337.99
1926,1326.23,1346.66
1927,1262.89,1348.84
1928,1232.79,1339.23
1929,1386.71,1320.21
1930,1172.58,1298.61
1931,1321.12,1281.34
1932,1108.34,1275.3
1933,1595.81,1287.25
1934,1218.58,1317.18
1935,1162.57,1357.27
1936,1672.17,1399.34
1937,1445.34,1434.84
1938,1579.59,1455.63
1939,1296.43,1457.49
1940,1382.25,1445.96
1941,1257.04,1428.12
1942,1518.69,1410.97
1943,1398.99,1401.53
1944,1416.71,1405.14
1945,1512.43,1418.3
1946,1531.97,1434.68
1947,1327.26,1447.93
1948,1421.6,1451.72
1949,1563.81,1440.23
1950,1405.75,1414.42
1951,1207.66,1379.73
1952,1311.19,1341.58
1953,1313.36,1305.71
1954,1343.05,1277.47
1955,1352.08,1259.48
1956,1418.84,1250.57
1957,1076,1249.39
1958,1147.31,1254.48
1959,1211.14,1264.43
1960,1158.25,1277.57
1961,1391.66,1291.29
1962,1541.66,1302.92
1963,1414.19,1309.79
1964,1251.53,1309.22
1965,1253.64,1299.43
1966,1144.84,1284.18
1967,1160.15,1269.2
1968,1329.24,1260.24
1969,1161.34,1263.09
1970,1342.42,1282.9
1971,1578.16,1316.5
1972,1182.41,1354.57
1973,1515.23,1387.3
1974,1346.06,1405.21
1975,1455.12,1398.88
1976,1239.15,1367.3
1977,1178.22,1322.5
1978,1429.21,1277.32
1979,1245.17,1244.62
1980,1287.47,1237.29
1981,1318.09,1262.42
1982,1172.19,1308.88
1983,1431.23,1362.12
1984,1359.32,1407.71
1985,1495.67,1430.84
1986,1303.39,1419.64
1987,1377.54,1379.22
1988,1381.8,1321.63
1989,1245.91,1259.48
1990,1403.23,1204.89
1991,1146.81,1169.63
1992,1035.01,1157.32
1993,1111.87,1164.74
1994,1148.53,1188.33
1995,1195.98,1224.6
1996,1229.8,1270.16
1997,1427.89,1319.96
1998,1435.64,1367.14
1999,1488.66,1404.5
2000,1399.14,1424.89
2001,1349.06,1421
2002,1363.25,1389.4
2003,1356.78,1339.4
2004,1321.7,1282.96
2005,1078.36,1232.54
2006,1192.26,1200.12
2007,1220.32,1195.96
2008,1369.39,1216.02
2009,1083.91,1249.24
2010,1286.27,1284.69
2011,1656.02,1311.4
2012,1311.58,1318.86
2013,1337.49,1305.96
2014,732.86,1280.61
2015,1300.03,1251
2016,1319.75,1225.28
2017,1288.91,1211.77
2018,1290.34,1214.8
2019,1212.42,1231.68
2020,1300.87,1259.04
2021,1365.81,1293.26
2022,1213.61,1330.95