Commodity,Category
tomato big(nepali),fruit
tomato small(local),fruit
potato red,tuber
potato white,tuber
onion dry (indian),bulb
carrot(local),root
cabbage(local),leaf
cauli local,flower
raddish red,root
raddish white(local),root
brinjal long,fruit
brinjal round,fruit
cow pea(long),seed
green peas,seed
french bean(local),seed
soyabean green,seed
bitter gourd,gourd
bottle gourd,gourd
pointed gourd(local),gourd
snake gourd,gourd
smooth gourd,gourd
sponge gourd,gourd
pumpkin,gourd
squash(long),gourd
turnip,root
okara,fruit
christophine,gourd
brd leaf mustard,leaf
spinach leaf,leaf
cress leaf,leaf
mustard leaf,leaf
fenugreek leaf,leaf
onion green,bulb
mushroom(kanya),fungus
asparagus,stem
neuro,stem
brocauli,flower
sugarbeet,root
drumstick,seed
red cabbbage,leaf
lettuce,leaf
celery,stem
parseley,leaf
fennel leaf,leaf
mint,leaf
turnip a,root
tamarind,seed
bamboo shoot,stem
tofu,seed
gundruk,leaf
apple(jholey),pome
banana,berry
lime,citrus
pomegranate,berry
mango(maldah),pome
grapes(green),berry
water melon(green),gourd
sweet orange,citrus
pineapple,pome
cucumber(local),fruit
jack fruit,berry
papaya(nepali),berry
sugarcane,stem
ginger,stem
chilli dry,fruit
chilli green,fruit
capsicum,fruit
garlic green,bulb
coriander green,leaf
garlic dry chinese,bulb
garlic dry nepali,bulb
clive dry,bulb
clive green,bulb
fish fresh,fish
arum,stem
maize,seed
sweet lime,citrus
guava,berry
mombin,drupe
barela,gourd
lemon,citrus
sword bean,seed
orange(nepali),citrus
bakula,seed
yam,tuber
sweet potato,tuber
mandarin,citrus
knolkhol,bulb
cauli terai,flower
kinnow,citrus
strawberry,berry
bauhania flower,flower
pear(local),pome
litchi(local),berry
musk melon,gourd
tomato small(tunnel),fruit
potato red(indian),tuber
mushroom(button),fungus
apple(fuji),pome
cucumber(hybrid),fruit
chilli green(bullet),fruit
chilli green(machhe),fruit
chilli green(akbare),fruit
fish fresh(rahu),fish
fish fresh(bachuwa),fish
fish fresh(chhadi),fish
fish fresh(mungari),fish
raddish white(hybrid),root
cowpea(short),seed
french bean(hybrid),seed
french bean(rajma),seed
squash(round),gourd
mango(dushari),pome
water melon(dotted),gourd
papaya(indian),berry
litchi(indian),berry
cabbage,leaf
potato red(mude),tuber
tomato big(indian),fruit
pear(chinese),pome
tomato small(indian),fruit
orange(indian),citrus
carrot(terai),root
tomato small(terai),fruit
onion dry (chinese),bulb
cabbage(terai),leaf
cauli local(jyapu),flower
pointed gourd(terai),gourd
grapes(black),berry
kiwi,berry
mango(calcutte),pome
mango(chousa),pome